Open,High,Low,Close,Volume,Dividends,Stock Splits,Date
62.0287624061651,63.700817094858024,61.15511640489983,61.71084976196289,197002000,0.0,0.0,2020-03-31 23:59:59.999999999
87.62042049858218,89.05610878837916,87.60095688672507,88.76896667480469,140223200,0.0,0.0,2020-06-30 23:59:59.999999999
110.95649687203007,114.34009100590049,110.79073185621964,112.92619323730469,142675200,0.0,0.0,2020-09-30 23:59:59.999999999
130.9667947818931,131.61147380180907,128.66159108708325,129.60906982421875,99116600,0.0,0.0,2020-12-31 23:59:59.999999999
119.0029908224551,120.83229628055129,118.51387043885552,119.49211120605469,118323800,0.0,0.0,2021-03-31 23:59:59.999999999
133.43332711607954,134.64841164879587,133.1393533635694,134.20745849609375,63261400,0.0,0.0,2021-06-30 23:59:59.999999999
140.9836859376015,141.69027387708846,138.64801941682376,138.86392211914062,89056700,0.0,0.0,2021-09-30 23:59:59.999999999
175.02732773011687,176.1477221985718,174.21159969660636,174.5162811279297,64062300,0.0,0.0,2021-12-31 23:59:59.999999999
175.00431393883977,175.19128676604245,171.61916279397346,171.82582092285156,103049300,0.0,0.0,2022-03-31 23:59:59.999999999
135.25995448479154,136.36371032139607,131.83041667995218,134.73764038085938,98964500,0.0,0.0,2022-06-30 23:59:59.999999999
139.42495175640798,141.22106186093816,136.18802030456854,136.38539123535156,124925300,0.0,0.0,2022-09-30 23:59:59.999999999
126.93414153068441,128.45643512279935,125.9654017030859,128.43666076660156,77034200,0.0,0.0,2022-12-31 23:59:59.999999999
160.8182007028279,163.35263923391068,160.29349343380431,163.25363159179688,68749800,0.0,0.0,2023-03-31 23:59:59.999999999
189.97918829297507,192.80462759541973,189.6123654098311,192.2990264892578,85069600,0.0,0.0,2023-06-30 23:59:59.999999999
170.7683831744606,171.81074638236362,169.10059901226265,169.9642791748047,51814200,0.0,0.0,2023-09-30 23:59:59.999999999
192.7427697089948,193.23978563415233,190.58572241393787,191.38095092773438,42628800,0.0,0.0,2023-12-31 23:59:59.999999999
170.94283813483634,171.4205780589011,169.70866021166748,170.67410278320312,65672700,0.0,0.0,2024-03-31 23:59:59.999999999
215.04724812174294,215.34624626528088,209.5955695452833,209.91448974609375,82542700,0.0,0.0,2024-06-30 23:59:59.999999999
229.5348054854851,232.48831176757812,229.1456625683617,232.48831176757812,54541900,0.0,0.0,2024-09-30 23:59:59.999999999
252.16275955239965,253.00183336212825,249.15605553782555,250.1449737548828,39480700,0.0,0.0,2024-12-31 23:59:59.999999999
241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47088200,0.0,0.0,2025-03-31 23:59:59.999999999
